FilePath,MethodCount,CrappyMethodCount,MaxCrap,AvgCrap,TotalCrapLoad,AvgCoverage,MaxComplexity,WorstMethod,IsProduction
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/Core/Model/EntityBase.cs,6,2,20,8,10,0,4,ClearMeasure.Bootcamp.Core.Model.EntityBase<T>.Equals(T?),True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UI.Shared/Pages/WorkOrderSearch.razor.cs,4,2,20,11,10,0,4,ClearMeasure.Bootcamp.UI.Shared.Pages.WorkOrderSearch.InitializeAsync(),True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/ChurchBulletin.ServiceDefaults/CorrelationIdMiddleware.cs,3,1,20,8,5,0,4,ClearMeasure.Bootcamp.ServiceDefaults.CorrelationIdMiddleware.ResolveCorrelationId(HttpContext),True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/ChurchBulletin.ServiceDefaults/SerilogExtensions.cs,4,1,20,6.5,5,0,4,Microsoft.Extensions.Hosting.SerilogExtensions.AddSerilogJsonConsole(this IHostApplicationBuilder),True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/ChurchBulletin.ServiceDefaults/TraceEntry.cs,2,1,20,11,5,0,4,"Microsoft.Extensions.Hosting.TraceEntry.TraceEntry(Activity, string)",True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/LlmGateway/CanConnectToLlmServerHealthCheck.cs,1,1,20,20,5,0,4,"ClearMeasure.Bootcamp.LlmGateway.CanConnectToLlmServerHealthCheck.CheckHealthAsync(HealthCheckContext, CancellationToken)",True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/McpServer/Program.cs,1,1,20,20,5,0,4,Program.<Main>$(string[]),True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/McpServer/ToolProvider.cs,2,1,20,13,5,0,4,ClearMeasure.Bootcamp.McpServer.ToolProvider.GetToolsAsync(),True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UI.Shared/Bus.cs,7,1,20,7.02,5,0.2,4,"ClearMeasure.Bootcamp.UI.Shared.Bus.AddPropertyTags(object, Activity)",True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/AcceptanceTests/McpServer/McpServerLlmAcceptanceTests.cs,8,1,20,5.25,5,0,4,ClearMeasure.Bootcamp.AcceptanceTests.McpServer.McpServerLlmAcceptanceTests.ShouldCreateWorkOrderViaLlm(),False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/DataAccess/Handlers/WorkOrderQueryHandler.cs,3,1,20,8,5,0,4,ClearMeasure.Bootcamp.DataAccess.Handlers.WorkOrderQueryHandler.GetWorkOrdersAsync(WorkOrderSearchSpecification),True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/DataAccess/Handlers/WorkOrderSearchHandler.cs,1,1,20,20,5,0,4,"ClearMeasure.Bootcamp.DataAccess.Handlers.WorkOrderSearchHandler.Handle(WorkOrderSpecificationQuery, CancellationToken)",True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/Database/Console/RebuildDatabaseCommand.cs,1,1,20,20,5,0,4,"ClearMeasure.Bootcamp.Database.Console.RebuildDatabaseCommand.ExecuteInternal(CommandContext, DatabaseOptions, string, CancellationToken)",True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/IntegrationTests/Api/DetailedHealthCheckEndpointIntegrationTests.cs,15,1,20,3.73,5,0,4,ClearMeasure.Bootcamp.IntegrationTests.Api.DetailedHealthCheckEndpointIntegrationTests.Should_IncludeComponentDetails_When_DetailedHealthCheckReturns(),False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/IntegrationTests/Api/DetailedHealthEndpointIntegrationTests.cs,27,1,20,2.67,5,0,4,ClearMeasure.Bootcamp.IntegrationTests.Api.DetailedHealthEndpointIntegrationTests.Should_ListExpectedComponentEntries_When_AggregatedFromRegisteredChecks(),False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/IntegrationTests/LlmGateway/ApplicationChatHandlerTests.cs,11,1,20,7.27,5,0,4,"ClearMeasure.Bootcamp.IntegrationTests.LlmGateway.ApplicationChatHandlerTests.WaitForWorkOrderAsync(string, Func<WorkOrder, bool>, TimeSpan, CancellationToken)",False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UI.Shared/Services/ThemePreferenceService.cs,5,1,20,9.6,5,0,4,ClearMeasure.Bootcamp.UI.Shared.Services.ThemePreferenceService.SetDarkModeAsync(bool),True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UnitTests/UI.Api/WorkOrdersBulkImportControllerTests.cs,7,1,20,4.57,5,0,4,ClearMeasure.Bootcamp.UnitTests.UI.Api.WorkOrdersBulkImportControllerTests.StubBus.Send<TResponse>(IRequest<TResponse>),False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/IntegrationTests/DataAccess/Handlers/TelemetryHandlerTests.cs,2,1,20,13,5,0,4,ClearMeasure.Bootcamp.IntegrationTests.DataAccess.Handlers.TelemetryHandlerTests.ShouldIncrementLoginCounter_WhenUserLogsIn(),False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UI/Server/Grpc/WorkOrdersGrpcService.cs,3,1,20,11.33,5,0,4,ClearMeasure.Bootcamp.UI.Server.Grpc.WorkOrdersGrpcService.MapWorkOrder(Core.Model.WorkOrder),True
